genreId,name
l2kodwn1,"""Puzzle"""
92dk43nl,.io
45xj162d,.io Game
r2lr3p27,1 player
r2lo1127,1-Bit
4n60zon9,16-bit
92dxgx5l,1980's
4n4x7w20,1980s
m21d6l24,1st-person
g2zoj4nl,1st-person shooter
d5ogj82w,2-D
y5gkox2e,2-D Platformer
75mjm853,"2-d side scrolling, action, puzzle, platforming"
m211g424,2.5 Fighter
m21o1d54,2.5D
q5w3vk2g,2.5D action platformer
l2kyvk51,2.5D Fighter
4n4mewn0,2.5D Racer
75mzek23,2012
y45xyv2d,2D
6507042m,2D Action
65jzw12k,2D Action Platformer
x5e4m8n4,2D Arcade Shooter
l28eky2r,2D Building
l28wgr2r,2D EXE Horror
pl2kwr21,2D Fighter
75mj8853,2D Fighting
r2lwqk57,2D Fighting Game
r2lwz857,2D Game
l28epk2r,2D Golf
75mg7k53,2D Horror
l28erk2r,2D jump'n'run
q5w4xkng,2D Open World
75mly4n3,2D physics platformer
g2zz762l,2D Pixel Game
1n9e1d2m,2D plataformer
9rnvkq5q,2D Platform
pm21dr24,2D Platformer
x5e4wdn4,2d platformer adventure hardcore fangame
l286ywnr,2D Puzzle Platformer
l28l0wnr,2D Puzzle-Platformer
rnvzpk5q,2D racing
l286kmnr,2D Run N Gun
4n6y1r59,2D Scrolling Shooter Action
1n9leqnm,2D shooter
4n46od20,2D Shooter Game
92ddqr2l,2D Shooting Boss-rush
45xm162d,2d Side Scroller
p23m8mn6,2D Side Scrolling Beat'em Up
61n93pnm,2D side scrolling platform game
45xq3vnd,2D Side-Scroller
72ypgy2d,2D sidescroller
94n49d20,2D sidescrolling platformer
p92d9z5l,2D sidescrolling run-and-gun platformer
45xkgmnd,"2D, Sandbox"
75mrrgn3,2D-Fighter
p236kk26,2D-Platformer
72ymvy2d,2d-plattformer
1npj0yn7,2DSTG
x5eyrdn4,3-D Fighter
94n44on0,3-D Platformer
m216xd54,3-D Sidescroller
4n6607n9,3-Player Co-Op Shooter
l286eonr,360 degree FPS
4n6wmo29,3D
92dpw32l,3D Action
p23wpk56,3D Arena Fighter
1g2zew2l,3D Collect-a-thon Platformer
72y7md2d,3D Collectathon
1n90gdnm,3D Fighter
92dmjy2l,3D Fighting
92dm432l,3D Fighting Game
65jgom5k,3D mecha simulation shooter
l2koy6n1,3d Parkour
jp23ox26,3D Platformer
m21x6l54,"3D Platformer, Action"
r2rvd3nz,3D Platforming
l28e0w2r,3D Plattformer
65j86k2k,3D Puzzle Platformer
y5g71k5e,3D Puzzle Sidescroller
92dklxnl,3D Racing Game
1n9lqznm,3D Shooter
dnqo6m58,3D space shooter
4n4p4dn0,3D STRATEGIC ACTION
75mrqxn3,3D-Platformer
72yz4ynd,3D-Platofrmer
d5ozm3nw,3DActionGunShooting
d5ogm82w,3rd person
q5w3ym2g,3rd Person Shooter
q5wpvkng,4 Characters
q274je2l,4 Player
p23xrr26,4 Player Local
92dkqrnl,4X
l2kj4w51,4X Strategy
m65jqv2k,5 Minute
45xkdmnd,6dof
x5exg824,6DoF FPS
4n4m9dn0,6DoF Shooter
4n6wj729,8-bit
x5eo8724,8bit
1n99kdnm,90 Shooter
72ym1o2d,90s
r2lvr1n7,Abenteuer
x5e7k7n4,Abomination
y5gg6x5e,Abstract
72ymgy2d,Abstract Strategy
q274zo2l,Acade
4n4pppn0,accion
l2kjez51,ACT
94n4pn0w,Action
q5w4y8ng,Action & Adventure
1n99mdnm,Action - Third Person Shooting
94n4kw50,Action / Adventure
72yzwxnd,Action / Adventure / First-Person-Shooter
92dv8x2l,Action / Combat
d5ogg32w,Action / FPS
p236yk26,Action / Platformer
l2kg1r51,Action / Puzzle
72ypmd2d,Action / Vehicle Simulator
650eyrnm,Action 3D
7d5owlnw,Action Adventure
r2rok62z,Action Adventure Platformer
l2koeen1,Action Adventure RPG
1n9e0z2m,Action and Roguelike
dnqey0n8,Action Beat em up
1n9qzp2m,Action Fantasy
4n4epp50,Action Game
l2kgpr51,Action Hack'n'Slash
g2z7qw5l,Action horror
r2r93p2z,Action Horror-Puzzle Platformer
75ml9kn3,Action Indie Adventure Casual Horror
l286rynr,Action MOBA
75mjee53,Action Platform
r2lwv157,Action Platformer
65jz7l2k,Action Puzzle
l2kgrk51,Action puzzle game
l2klg6n1,Action Puzzler
65069x5m,Action racer
r2l83157,action roguelike
q5wdr8ng,Action Roguelite
r2ro682z,Action Role Playing
92dkzznl,Action Role Playing Game
m65jxlnk,Action role-playing
p23mprn6,Action Role-Playing Game
l2kyg651,Action Role-Playing Survival Game
q27kdenl,"Action role-playing, Open World"
m216vr54,Action Roleplay Game
1n9lzpnm,Action Rougelike
oq27w1nl,Action RPG
1n9q9q2m,"Action rpg, hack and slash"
d5og0p2w,Action Shooter
q5wkvk5g,Action Shooter First-Person
92dmlx2l,Action Sports
45xk86nd,"Action, Adventure, Casual, Indie"
4n4eww50,"Action, Adventure, Indie"
l28wwo2r,"Action, Adventure, Indie, RPG"
1n9qjx2m,"Action, Arcade"
1n9lpvnm,"Action, Fighting, Fanservice"
92ddo32l,"Action, Fighting, Party"
m211rz24,"Action, First Person, Third Person"
45x4w62d,"Action, Platformer"
x5eqor54,"Action, Sci Fi"
92dk0rnl,"Action, Shooter"
4n6yd759,"Action, Sport"
4n4moon0,"Action, Sports"
72yzk6nd,"Action,Puzzle"
1n9loxnm,Action- Platformer
9rnvvrnq,Action-adventure
65jzol2k,Action-adventure game
g2z7r65l,"Action-adventure game, Third-person shooter"
4n60ern9,Action-Adventure Pirate Simulator
g2zqo62l,Action-Adventure Stealth
rnvzkp5q,"Action-adventure, hack and slash"
x5eo3m24,"Action-adventure, Puzzle"
p231rdn6,Action-Advernture+
dnqeg9n8,Action-aventure
4n4mz8n0,Action-game
d5ozyjnw,Action-packed rogue-lite shoot’em-up
y5ggox5e,action-platformer
d5ovj82w,Action-Puzzle
vx5eld24,Action-Racing
r2lwdw57,Action-RPG
65jjkv5k,Action. platform
jp230326,Action/Adventure
rnv90r2q,Action/Adventure VR
m211v424,"Action/Adventure, Beat 'em Up"
p23omm26,"Action/Adventure, Platformer"
m21p6r24,Action/adventure/puzzle
650k7xnm,Action/Aventure
1g2z64nl,action/hack and slash
65jzl12k,Action/Horror
qdnq0r58,Action/Platformer
y45x395d,Action/Puzzle
d1npgwn7,Action/RPG
65jzgk2k,Action: Side-Scrolling
65j66knk,Actions.
q5wpzrng,Action\Role-Playing
g2zo04nl,Action_Platformer
92dv932l,Acton Platformer
g2zzer2l,Ad
72yopd5d,Adult
q27kgenl,Adult content featured
l2kj9k51,ADV
o75mg539,Adventure
94n4ww50,Adventure / Indie
45x43m2d,adventure and indie
6509045m,Adventure Arcade Platformer
r2lvxkn7,Adventure Game
r2log427,"Adventure game, Indie game, Puzzle, Casual game, Adventure"
y5g73d5e,Adventure games
p236om26,Adventure Map
72y7v62d,Adventure Maps
el283ynr,Adventure Platformer
rnvdjrnq,Adventure RPG
r2l6e427,Adventure Story
r2l6op27,"Adventure, Action"
l28emw2r,"Adventure, Action, Platformer, Puzzle"
4n4e1850,"Adventure, Educational"
y5gkvp2e,"Adventure, Entertainment"
y5gxmdne,"Adventure, General"
dnqeqjn8,"Adventure, Indie"
y5gv4r5e,"Adventure, Indie, RPG, Simulation, Strategy"
q27wjenl,"adventure, platform"
x5e4zmn4,"Adventure, Puzzle"
75mr68n3,Adventure-Platformer
