parentGameId,variableId,variableName,category,scopeType,scopeLevel,isSubcategory,defaultValue
j1n8nj91,e8mqpdxn,Target score,,global,,true,4qy6xmdl
369wv90d,gnx62rxn,Cookies Baked,,global,,true,1pyx5681
369wv90d,dloo635l,Verified?,,global,,false,q757xzd1
369wv90d,2lge15e8,Oven Type,,global,,true,
369w2pgd,ylqx3x78,Jeff Kinney,vdo7oy12,full-game,,true,10v75xjl
369w2pgd,kn0k9e08,Dav Pilkey (CU),7dgpryxd,full-game,,true,
369w2pgd,ylqx3d78,Illustration Reading,,global,,false,qke8r5dq
369w2pgd,0nwmg6x8,Mary Pope Osborne,w20oy1j2,full-game,,true,qzn44o2q
369w2pgd,p85ypx5l,Rachel Renee Russel,9kvzy90d,full-game,,true,
369w2pgd,2lgekpq8,Dav Pilkey (DM),wdmj6ved,full-game,,true,
369w2pgd,789vmmqn,Homer (Iliad),9kvzq8ed,full-game,,true,q75go4p1
369w2pgd,2lgexxq8,Homer (Odyssey),rkly956d,full-game,,true,qke83myq
369w2pgd,kn0k35o8,Marcus Aurelius,7dgpmxgd,full-game,,true,qyz42wd1
369w2pgd,p85yjgxl,CIA,w20oey52,full-game,,true,le28wvml
369w2pgd,p85yjvxl,Dr. Seuss,,global,,true,
369w2pgd,68k1903l,Weaver,w207y8zk,full-game,,true,
9d389y91,gnx2jvx8,Platform,,global,,true,jqzjdy8l
369woy2d,rn1yp9kn,Points,,global,,true,
76rx34v6,j84kdyyn,Car Type,,global,,true,8105x4oq
3dxknkp1,jlzxzv78,Player Count,,global,,true,10vopjol
m1meno4d,onv9wdw8,Players,,global,,true,
3dxy72g6,ylpy93kl,Point Total,,global,,true,
m1me0zxd,e8m7jpv8,Point Total,,global,,true,
m1zr8xd0,onvegwlm,Variant,,global,,true,5lm8nm8q
4d7gyld7,0nw4358q,Set/Random,,global,,true,p12oz0dl
y65po0de,j846x2jl,Mode,z273zpgd,global,,true,gq7rmgyl
y65po0de,wl366p9l,Mode,jdr1ygx2,full-game,,true,jq6yk271
y65po0de,j84kkwjn,Difficulty,z273zpgd,full-game,,true,rqv6wdwl
y65po0de,5lyjjjkl,Difficulty,jdr1ygx2,full-game,,true,z195gd0q
y65po0de,ylq999z8,Difficulty,q258y9j2,full-game,,true,gq79ekvl
j1ll7371,789k76ql,Console,,global,,true,p12zzzv1
pd0qo501,p85p4dvl,Version,,global,,false,le220k6l
26899771,2lgy6k3l,Player Count,,global,,true,
pdv2xv96,9l79k04n,Stage,z27ye102,full-game,,true,q65578jl
pdv2xv96,yn23gxdl,Mode,z27ye102,full-game,,true,1w448yvq
pdv2xv96,6njyrden,Game,zdnp38ek,full-game,,true,1399rgx1
pdv97z91,wlegemen,Point Total,,global,,true,
k6qpnnmd,dloo49el,Point Total,xk9mvggd,global,,true,
k6qpnnmd,jlzp720n,Stage Count,zdnv84xk,global,,true,
9dox9wed,ql6y5ek8,Player Count,,global,,true,
9dox9wed,onv5mv0l,Jump Count,7kjnp0nd,global,,true,
